Name  ,Type  ,Power  ,Accuracy,Effect  
Absorb,grass ,20,100,User recovers half of the HP inflicted on opponent. 
Acid,poison ,40,100,May lower opponent's Defense or Special Defense one stage. 
Acid Armor,poison ,-1,-100,Increases user's Defense by two stages. 
Acupressure,normal ,-1,-100,Randomly raises one of the user's stats by two stages. 
Aerial Ace,flying ,60,1000,"Cannot miss, regardless of Accuracy or Evasiveness. "
Aeroblast,flying ,100,95,High Critical-Hit ratio. 
Agility,psychic ,-1,-100,Raises the user's Speed by two stages. 
Air Cutter,flying ,55,95,High Critical-Hit ratio. 
Air Slash,flying ,75,95,May cause flinching. 
Amnesia,psychic ,-1,-100,Raises user's Special Defense by two stages. 
Ancientpower,rock ,60,100,Might raise all of the user's stats by one stage. 
Aqua Jet,water ,40,100,User goes first. 
Aqua Ring,water ,-1,-100,Restores a little HP each turn. 
Aqua Tail,water ,90,90,No Added Effect
Arm Thrust,fighting ,15,100,Hits 2-5 times. 
Aromatherapy,grass ,-1,-100,Cures all status problems in your party. 
Assist,normal ,-1,-100,"In a Double Battle, user randomly attacks with a partner's move. "
Assurance,dark ,50,100,Power doubles if opponent already took damage in the same turn. 
Astonish,ghost ,30,100,May cause flinching. 
Attack Order,bug ,90,100,High Critical-Hit ratio. 
Attract,normal ,-1,100,"If opponent is the opposite gender, it's less likely to attack. "
Aura Sphere,fighting ,90,1000,"Cannot miss, regardless of Accuracy or Evasiveness. "
Aurora Beam,ice ,65,100,Might lower opponent's Attack. 
Avalanche,ice ,60,100,Power doubles if user took damage first. 
Barrage,normal ,15,85,Hits 2-5 times. 
Barrier,psychic ,-1,-100,Raises user's Defense by two stages. 
Baton Pass,normal ,-1,-100,Allows user to switch but gives stat changes to the new Pokemon. 
Beat Up,dark ,10,100,Each Pokemon in your party attacks. 
Belly Drum,normal ,-1,-100,"User loses 50% of its max HP, but Attack raises to maximum. "
Bide,normal ,-1,-100,User takes damage for two turns and strikes back double on 3rd. 
Bind,normal ,15,75,"Damages opponent for 2-5 turns, opponent cannot escape/switch. "
Bite,dark ,60,100,May cause flinching. 
Blast Burn,fire ,150,90,User cannot move next turn. 
Blaze Kick,fire ,85,90,High Critical-Hit ratio. May cause a burn. 
Blizzard,ice ,120,70,May cause freezing. 
Block,normal ,-1,-100,Opponent cannot flee or switch. 
Body Slam,normal ,85,100,May cause paralysis. 
Bone Club,ground ,65,85,May cause flinching. 
Bone Rush,ground ,25,80,Hits 2-5 times. 
Bonemerang,ground ,50,90,Hits twice. 
Bounce,flying ,85,85,"Flies up on the first turn, hits on the 2nd. May cause paralysis. "
Brave Bird,flying ,120,100,User receives recoil damage. 
Brick Break,fighting ,75,100,"Destroys Reflect, Light Screen, and Barrier. "
Brine,water ,65,100,Power doubles if opponent's HP is less than 50%. 
Bubble,water ,20,100,May lower opponent's Speed by one stage. 
Bubblebeam,water ,65,100,May lower opponent's Speed by one stage. 
Bug Bite,bug ,60,100,Receives the effect from the opponent's held berry. 
Bug Buzz,bug ,90,100,May lower opponent's Special Defense by one stage. 
Bulk Up,fighting ,-1,-100,Increases user's Attack and Defense by one stage. 
Bullet Punch,steel ,40,100,User goes first. 
Bullet Seed,grass ,10,100,Hits 2-5 times. 
