Num,Pokemon,Chance
10,Caterpie,5
11,Metapod,5
12,Butterfree,5
13,Weedle,5
14,Kakuna,5
15,Beedrill,5
16,Pidgey,5
17,Pidgeotto,5
18,Pidgeot,5
19,Rattata,5
20,Raticate,5
21,Spearow,5
22,Fearow,5
23,Ekans,50
24,Arbok,10
25,Pikachu,60
26,Raichu,5
27,Sandshrew,30
28,Sandslash,10
29,Nidoran F,40
30,Nidorina,20
31,Nidoqueen,50
32,Nidoran M,50
33,Nidorino,25
34,Nidoking,5
35,Clefairy,40
36,Clefable,5
63,Abra,70
64,Kadabra,20
65,Alakazam,5
81,Magnemite,70
82,Magneton,10
83,Farfetch'd,45
84,Doduo,45
85,Dodrio,10
100,Voltorb,45
101,Electrode,10
102,Exeggcute,35
103,Exeggutor,5
122,Mr. Mime,10
123,Scyther,15
124,Jynx,15
125,Electabuzz,35
143,Snorlax,30
144,Articuno,0.0001
145,Zapdos,0.0001
146,Moltres,0.0001
147,Dratini,0.01
148,Dragonair,0.001
149,Dragonite,0.0001
150,Mewtwo,0.0001
151,Mew,0.0001
